,0
1720,9924
1721,9925
1722,9926
1723,9927
1724,9928
1725,9929
1726,9930
1727,9931
1728,9933
1729,9934
1730,9935
1731,9937
1732,9938
1733,9939
1734,9940
1735,9941
1736,9942
1737,9943
1738,9944
1739,9945
1740,9946
1741,9949
1742,9950
1743,9951
1744,9955
1745,9958
1746,9960
1747,9962
